City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Songkhla,TH,2022-12-08 02:11:08,6.8333,100.6667,78.85,95,100,8.03
211,Sabha,LY,2022-12-08 02:11:08,27.0377,14.4283,66.29,23,90,8.63
212,Lata,PT,2022-12-08 02:09:44,40.1629,-8.3327,54.07,92,100,7.4
213,Pasan,IN,2022-12-08 02:11:09,22.85,82.2,51.24,50,100,2.59
214,Niquelandia,BR,2022-12-08 02:11:09,-14.4739,-48.4597,72.28,84,34,1.52
215,Tiksi,RU,2022-12-08 02:11:09,71.6872,128.8694,-6.88,98,100,11.99
216,Padang,ID,2022-12-08 02:11:10,-0.9492,100.3543,77.05,81,100,2.01
217,Beisfjord,NO,2022-12-08 02:11:10,68.3751,17.5988,28.45,89,26,8.93
218,Cockburn Town,TC,2022-12-08 02:10:56,21.4612,-71.1419,78.04,60,0,17.85
219,Tecoanapa,MX,2022-12-08 02:11:11,16.5167,-98.75,78.01,81,0,6.11
220,Campo Maior,BR,2022-12-08 02:11:11,-4.8278,-42.1686,80.04,44,59,5.44
221,Labuhan,ID,2022-12-08 02:11:11,-6.8844,112.2051,84.4,69,94,3.71
222,Turukhansk,RU,2022-12-08 02:11:12,65.8167,87.9833,5.32,95,100,16.49
223,Idrinskoye,RU,2022-12-08 02:11:12,54.3708,92.1358,-7.19,97,100,2.51
224,Emborion,GR,2022-12-08 02:06:26,40.4833,21.55,41.36,94,96,3.02
225,Andenes,NO,2022-12-08 02:11:13,69.3143,16.1194,33.78,64,75,23.02
226,Boddam,GB,2022-12-08 02:11:13,57.4667,-1.7833,37.49,69,100,26.96
227,Bagepalli,IN,2022-12-08 02:11:13,13.7847,77.7931,64.15,65,99,1.81
228,Marmande,FR,2022-12-08 02:11:14,44.5,0.1667,39.51,91,80,3.2
229,Nikaia,GR,2022-12-08 02:10:15,37.9667,23.65,61.56,87,75,0.0
230,Kodiak,US,2022-12-08 02:11:14,57.79,-152.4072,31.51,51,20,29.93
231,Kapit,MY,2022-12-08 02:11:15,2.0167,112.9333,75.09,98,100,0.89
232,Port Augusta,AU,2022-12-08 02:11:15,-32.5,137.7667,70.11,28,0,14.43
233,Saint-Joseph,RE,2022-12-08 02:11:16,-21.3667,55.6167,73.78,83,24,12.59
234,Flagstaff,US,2022-12-08 02:11:16,35.1981,-111.6513,35.53,90,0,4.61
235,Klaksvik,FO,2022-12-08 02:06:19,62.2266,-6.589,32.92,71,100,31.72
236,Vostochnyy,RU,2022-12-08 02:12:16,55.8167,37.8667,17.19,86,100,14.43
237,Panji,ID,2022-12-08 02:12:17,-7.7253,114.0995,87.08,56,99,2.75
238,Talnakh,RU,2022-12-08 02:12:17,69.4865,88.3972,-20.79,100,100,2.82
239,Rio Gallegos,AR,2022-12-08 02:12:18,-51.6226,-69.2181,50.05,76,0,9.22
240,Pavlodar,KZ,2022-12-08 02:12:18,52.3,76.95,-27.6,68,40,2.24
241,San Ignacio,BZ,2022-12-08 02:12:19,17.1561,-89.0714,71.74,94,0,0.0
242,Betare Oya,CM,2022-12-08 02:12:21,5.6,14.0833,64.96,36,70,0.96
243,Salalah,OM,2022-12-08 02:11:01,17.0151,54.0924,73.49,78,20,4.61
244,Ribeira Grande,PT,2022-12-08 02:12:21,38.5167,-28.7,60.78,82,40,11.01
245,Ruteng,ID,2022-12-08 02:12:22,-8.6136,120.4721,75.43,47,73,1.16
246,Bambous Virieux,MU,2022-12-08 02:08:28,-20.3428,57.7575,76.21,81,37,19.01
247,Portland,US,2022-12-08 02:10:04,45.5234,-122.6762,40.41,90,100,5.75
248,Nouadhibou,MR,2022-12-08 02:12:22,20.931,-17.0347,65.95,77,97,10.92
249,Tieli,CN,2022-12-08 02:12:23,46.95,128.05,8.6,85,32,5.28
250,Yining,CN,2022-12-08 02:12:23,29.0361,114.5636,52.29,74,89,1.57
251,Dajal,PK,2022-12-08 02:12:24,29.5577,70.3762,60.21,30,18,2.71
252,Barahona,DO,2022-12-08 02:11:24,18.2085,-71.1008,73.92,69,11,3.67
253,Gamba,GA,2022-12-08 02:12:24,-2.65,10.0,73.35,90,100,7.43
254,Plastun,RU,2022-12-08 02:12:24,44.7561,136.2939,22.17,48,5,10.0
255,Comodoro Rivadavia,AR,2022-12-08 02:12:25,-45.8667,-67.5,66.06,45,0,10.36
256,Prieta,HN,2022-12-08 02:12:25,15.5833,-86.1833,70.48,95,5,1.3
257,Bolobo,CD,2022-12-08 02:12:26,-2.1667,16.2333,68.72,95,100,2.62
258,Lima,PE,2022-12-08 02:08:27,-12.0432,-77.0282,64.65,82,75,12.66
259,Gwadar,PK,2022-12-08 02:12:26,25.1216,62.3254,73.54,61,0,7.23
260,Iqaluit,CA,2022-12-08 02:12:26,63.7506,-68.5145,13.69,85,100,4.0
261,Ovre Ardal,NO,2022-12-08 02:12:27,61.3167,7.8,8.98,99,100,2.04
262,Dawei,MM,2022-12-08 02:12:27,14.0833,98.2,81.82,67,16,7.31
263,Aksay,RU,2022-12-08 02:12:27,47.26,39.87,25.25,62,100,15.99
264,Taoudenni,ML,2022-12-08 02:12:28,22.6783,-3.9836,78.73,14,86,7.92
265,Punta Alta,AR,2022-12-08 02:09:46,-38.8759,-62.0736,72.7,71,0,8.3
266,Ancud,CL,2022-12-08 02:12:28,-41.8697,-73.8203,56.64,89,100,20.71
267,Sabzevar,IR,2022-12-08 02:12:29,36.2126,57.6819,37.29,62,8,3.31
268,Nakskov,DK,2022-12-08 02:12:29,54.8373,11.1284,30.15,69,100,4.5
269,Carnarvon,AU,2022-12-08 02:12:29,-24.8667,113.6333,73.89,59,42,14.0
270,Margate,GB,2022-12-08 02:12:30,51.3813,1.3862,34.7,87,25,1.01
271,Kaitangata,NZ,2022-12-08 02:12:30,-46.2817,169.8464,69.49,50,100,10.36
272,Taicheng,CN,2022-12-08 02:12:30,38.731,113.228,30.72,24,77,2.06
273,Svetlyy,RU,2022-12-08 02:11:18,54.675,20.1347,37.45,83,100,17.18
274,Hofn,IS,2022-12-08 02:12:31,64.2539,-15.2082,26.29,60,0,19.8
275,Kloulklubed,PW,2022-12-08 02:12:31,7.0419,134.2556,79.3,82,100,3.04
276,Bubaque,GW,2022-12-08 02:11:23,11.2833,-15.8333,80.56,72,0,12.35
277,Serenje,ZM,2022-12-08 02:12:32,-13.2325,30.2352,61.61,87,97,4.14
278,Mogadishu,SO,2022-12-08 02:09:42,2.0371,45.3438,79.61,85,76,12.06
279,Kinablangan,PH,2022-12-08 02:12:32,7.6947,126.5503,80.55,81,100,7.23
280,Mandalgovi,MN,2022-12-08 02:11:34,45.7625,106.2708,9.39,50,0,3.94
281,Alboraya,ES,2022-12-08 02:12:33,39.5,-0.35,57.78,91,75,4.61
282,Conway,US,2022-12-08 02:09:35,35.0887,-92.4421,58.87,97,100,6.91
283,Tasiilaq,GL,2022-12-08 02:11:23,65.6145,-37.6368,23.16,68,39,4.21
284,Rio Grande,BR,2022-12-08 02:13:34,-32.035,-52.0986,68.94,90,0,12.08
285,Lagoa,PT,2022-12-08 02:10:22,39.05,-27.9833,59.5,82,61,24.18
286,Manaus,BR,2022-12-08 02:13:34,-3.1019,-60.025,81.09,89,75,2.3
287,Port Keats,AU,2022-12-08 02:13:35,-14.25,129.55,90.0,57,100,9.64
288,Muros,ES,2022-12-08 02:10:14,42.7762,-9.0603,56.68,89,100,12.01
289,Hanmer Springs,NZ,2022-12-08 02:13:35,-42.5167,172.8167,75.25,28,83,1.03
290,Bosconia,CO,2022-12-08 02:13:36,9.9689,-73.8836,72.52,83,5,3.15
291,Viedma,AR,2022-12-08 02:10:27,-40.8135,-62.9967,75.69,37,46,12.08
292,Mountain Home,US,2022-12-08 02:13:36,43.133,-115.6912,24.28,93,0,4.61
293,Ambilobe,MG,2022-12-08 02:13:36,-13.2,49.05,71.56,89,0,2.37
294,Andapa,MG,2022-12-08 02:13:37,-14.65,49.65,64.06,98,4,2.93
