City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Aklavik,CA,68.2191,-135.0107,-2.4,96,100,7.23,overcast clouds
159,Aripuana,BR,-9.1667,-60.6333,74.98,88,100,1.72,overcast clouds
160,Ostrovnoy,RU,68.0531,39.5131,20.48,89,100,18.57,overcast clouds
161,Pafos,CY,34.7667,32.4167,55.18,82,0,6.91,clear sky
162,Gorontalo,ID,0.5412,123.0595,87.71,59,74,3.62,broken clouds
163,Teguldet,RU,57.3064,88.1667,5.81,93,100,12.91,light snow
164,Magdalena,PH,14.1999,121.429,81.36,84,100,2.44,overcast clouds
165,La Ronge,CA,55.1001,-105.2842,7.02,85,75,3.44,snow
166,Carnarvon,AU,-24.8667,113.6333,73.63,46,0,15.37,clear sky
167,Zlobin,HR,45.2924,14.6541,47.68,94,100,6.91,overcast clouds
168,Kapuskasing,CA,49.4169,-82.4331,4.64,95,11,6.02,few clouds
169,Mounana,GA,-1.4085,13.1586,69.57,92,38,1.88,scattered clouds
170,Port Hardy,CA,50.6996,-127.4199,40.37,76,100,30.51,light rain
171,Esperance,AU,-33.8667,121.9,63.34,71,85,14.29,overcast clouds
172,Wajid,SO,3.8093,43.2471,73.8,79,91,10.78,overcast clouds
173,Eidfjord,NO,60.4675,7.0719,14.36,86,35,6.6,scattered clouds
174,San Patricio,US,28.017,-97.5169,73.83,86,4,12.44,clear sky
175,Saint-Augustin,CA,51.226,-58.6502,31.98,95,100,7.54,overcast clouds
176,Bati,ET,11.1833,40.0167,58.6,44,5,4.65,clear sky
177,Ixtapa,MX,20.7,-105.2,78.03,83,100,5.75,overcast clouds
178,Saskylakh,RU,71.9167,114.0833,-13.63,99,99,4.34,overcast clouds
179,Kuching,MY,1.55,110.3333,82.13,89,20,3.44,few clouds
180,Longyearbyen,SJ,78.2186,15.6401,21.04,79,40,3.44,scattered clouds
181,Fortuna,US,40.5982,-124.1573,48.34,88,100,27.63,overcast clouds
182,Asosa,ET,10.0667,34.5333,63.1,54,7,4.97,clear sky
183,Kavieng,PG,-2.5744,150.7967,83.26,73,41,5.84,light rain
184,Ordzhonikidze,KZ,52.4411,61.7408,2.01,75,18,8.39,few clouds
185,Bahir Dar,ET,11.5936,37.3908,60.3,68,22,3.22,few clouds
186,Caravelas,BR,-17.7125,-39.2481,75.43,89,5,8.66,clear sky
187,Ola,RU,59.5833,151.2833,-1.7,95,82,6.26,broken clouds
188,Otane,NZ,-39.8833,176.6333,69.01,55,100,5.03,overcast clouds
